Rajasthan,Republic Day,2015-01-26
Rajasthan,Independence Day,2015-08-15
Rajasthan,Mahatma Gandhi's Birthday,2015-10-02
Rajasthan,Martyr's Day,2015-01-30
Rajasthan,Mahavir Jayanti,2015-04-02
Delhi,Birthday of Prophet Mohammad,2015-01-04
Delhi,Republic Day,2015-01-26
Delhi,Independence Day,2015-08-15
Delhi,Mahatma Gandhi's Birthday,2015-10-02
Delhi,Guru Ravidas's Birthday,2015-02-03
Delhi,Swami Dayanand Saraswati Jayanti,2015-02-14
Delhi,Maha Shivratri,2015-02-17
Delhi,Holi,2015-03-06
Delhi,Ram Navami,2015-03-28
Delhi,Mahavir Jayanti,2015-04-02
Delhi,Good Friday,2015-04-03
Delhi,Buddha Purnima,2015-05-04
Delhi,Idu'l Fitr,2015-07-18
Delhi,Janamashtami,2015-09-05
Delhi,Idu'l Zuha (Bakrid),2015-09-25
Delhi,Dussehra,2015-10-22
Delhi,Muharram,2015-10-24
Delhi,Maharishi Valmiki Birthday,2015-10-27
Delhi,Diwali,2015-11-11
Delhi,Guru Teg Bahadur Martyrs Day,2015-11-24
Delhi,Guru Nanak Birthday,2015-11-25
Delhi,Birthday of Prophet Mohammad,2015-12-24
Maharashtra,Republic Day,2015-01-26
Maharashtra,Independence Day,2015-08-15
Maharashtra,Mahatma Gandhi's Birthday,2015-10-02
Maharashtra,Martyr's Day,2015-01-30
Maharashtra,Maharashtra Day,2015-05-01
Maharashtra,Ashadi Ekadashi,2015-07-27
Maharashtra,End of Prohibition Week,2015-10-08
Maharashtra,Kartik/Devuthani Ekadashi,2015-11-22
Maharashtra,Anant Chaturdashi,2015-09-27
Karnataka,Mahatma Gandhi's Birthday,2015-10-02
Tamilnadu,Birthday of Prophet Mohammad,2015-01-04
Tamilnadu,Republic Day,2015-01-26
Tamilnadu,Tiruvalluvar Day,2015-01-16
Tamilnadu,Independence Day,2015-08-15
Tamilnadu,Mahatma Gandhi's Birthday,2015-10-02
Tamilnadu,Mahavir Jayanti,2015-04-02
Tamilnadu,Vadalur Ramalingar Memorial Day,2015-02-03
Tamilnadu,May Day,2015-05-01
Andhra Pradesh,Independence Day,2015-08-15
Andhra Pradesh,Mahatma Gandhi's Birthday,2015-10-02
Andhra Pradesh,Republic Day,2015-01-26
Madhya Pradesh,Republic Day,2015-01-26
Madhya Pradesh,Independence Day,2015-08-15
Madhya Pradesh,Mahatma Gandhi's Birthday,2015-10-02
Madhya Pradesh,Holi,2015-03-06
Madhya Pradesh,Muharram,2015-10-24
Chandigarh,Republic Day,2015-01-26
Chandigarh,Independence Day,2015-08-15
